"Name","algo"
"fanciful-sweep-30","greedy-batch-uncertainty"
"cerulean-sweep-29","greedy-batch-uncertainty"
"graceful-sweep-28","greedy-batch-uncertainty"
"lunar-sweep-27","greedy-batch-uncertainty"
"solar-sweep-26","greedy-batch-uncertainty"
"fluent-sweep-25","greedy-batch-uncertainty"
"misunderstood-sweep-24","greedy-batch-uncertainty"
"exalted-sweep-23","greedy-batch-uncertainty"
"winter-sweep-22","greedy-batch-uncertainty"
"atomic-sweep-21","greedy-batch-uncertainty"
"earthy-sweep-20","uncertainty"
"lyric-sweep-19","uncertainty"
"whole-sweep-18","uncertainty"
"grateful-sweep-17","uncertainty"
"young-sweep-16","uncertainty"
"ethereal-sweep-15","uncertainty"
"rosy-sweep-14","uncertainty"
"rare-sweep-13","uncertainty"
"desert-sweep-12","uncertainty"
"expert-sweep-11","uncertainty"
"trim-sweep-10","random"
"efficient-sweep-9","random"
"vague-sweep-8","random"
"charmed-sweep-7","random"
"dauntless-sweep-6","random"
"morning-sweep-5","random"
"grateful-sweep-4","random"
"rich-sweep-3","random"
"dutiful-sweep-2","random"
"whole-sweep-1","random"
