"Name","algo"
"charmed-sweep-30","greedy-batch-uncertainty"
"hardy-sweep-29","greedy-batch-uncertainty"
"twilight-sweep-28","greedy-batch-uncertainty"
"bright-sweep-27","greedy-batch-uncertainty"
"quiet-sweep-26","greedy-batch-uncertainty"
"classic-sweep-25","greedy-batch-uncertainty"
"effortless-sweep-24","greedy-batch-uncertainty"
"vague-sweep-23","greedy-batch-uncertainty"
"chocolate-sweep-22","greedy-batch-uncertainty"
"gentle-sweep-21","greedy-batch-uncertainty"
"neat-sweep-20","uncertainty"
"pious-sweep-19","uncertainty"
"rose-sweep-18","uncertainty"
"vocal-sweep-17","uncertainty"
"fluent-sweep-16","uncertainty"
"magic-sweep-15","uncertainty"
"treasured-sweep-14","uncertainty"
"wobbly-sweep-13","uncertainty"
"vague-sweep-12","uncertainty"
"deft-sweep-11","uncertainty"
"frosty-sweep-10","random"
"vague-sweep-9","random"
"lyric-sweep-8","random"
"brisk-sweep-7","random"
"hopeful-sweep-6","random"
"pretty-sweep-5","random"
"giddy-sweep-4","random"
"vocal-sweep-3","random"
"iconic-sweep-2","random"
"pious-sweep-1","random"
